time,twist_r=0.30,twist_r=0.70,twist_r=1.10
55.5,-0.02022685147828583,-0.01505322678059026,-0.012101756826203377
56.0,-0.019576995187729606,-0.014522515039068967,-0.011665896884577706
56.5,-0.01897263065653714,-0.014015762090234633,-0.011235279504594964
57.0,-0.0183738507166445,-0.013509928323637944,-0.010806657377849381
57.5,-0.01781869934812472,-0.013033308990096042,-0.01039421583935842
58.0,-0.01730144084100665,-0.01258704812582402,-0.010015214063744067
58.5,-0.016798249036882106,-0.012168496353493987,-0.009661063050762798
59.0,-0.01632419931758836,-0.011760677472672636,-0.009315111392995927
59.5,-0.015876095007206648,-0.011389428233459932,-0.00900547175713671
60.0,-0.015415883179237375,-0.011001563994295636,-0.008671263817420562
60.5,-0.01501495424063075,-0.010647414494813429,-0.008365304325400048
61.0,-0.0145777394808597,-0.010299470094040687,-0.008077259046633648
61.5,-0.014197621069184752,-0.009982129309528886,-0.007816943885889037
62.0,-0.01385689073210783,-0.009676992683328143,-0.0075490122314983985
62.5,-0.0134911331337613,-0.009381869901915963,-0.007302072867934829
63.0,-0.013164311285205442,-0.009102224136161633,-0.00706457030035232
63.5,-0.01284598801738288,-0.008833471303487134,-0.006835780081334992
64.0,-0.01253702737737834,-0.008566255621484704,-0.006603474059489254
64.5,-0.012255663545829878,-0.008329089562972156,-0.006408537080584502
65.0,-0.012008191590541565,-0.008101611261932994,-0.006206372952420123
65.5,-0.011751414089091847,-0.007878668801061098,-0.006014232373141374
66.0,-0.011503686322194309,-0.007659225437159102,-0.005826802664517195
66.5,-0.011301253319655286,-0.007461231749922506,-0.0056499603719886255
67.0,-0.01104378553829852,-0.007261847490064591,-0.005490040898162254
67.5,-0.01082032979986475,-0.007072346550930872,-0.0053291978189131655
68.0,-0.010636819189209494,-0.006918984073582853,-0.005202043377235082
68.5,-0.010456076087757189,-0.006757418589776086,-0.005063164964840167
69.0,-0.010254226085861334,-0.006585350593421266,-0.004910868877634762
69.5,-0.010092833866116471,-0.0064416450393821375,-0.004790054096338662
70.0,-0.00993693675699689,-0.006307863723758563,-0.004678555931950366
70.5,-0.009794759159056055,-0.006190466740917344,-0.0045752663862887654
71.0,-0.00967093625745528,-0.006062811581044988,-0.004461020617149443
71.5,-0.00950748520821629,-0.0059229381959591855,-0.004347423568189525
72.0,-0.00940196945998813,-0.005820622670346154,-0.004257273302422261
72.5,-0.009280211092463913,-0.005703215251100049,-0.004152817875572207
73.0,-0.009127992433091184,-0.005577376255988674,-0.004044882406148637
73.5,-0.009034822956049678,-0.005481437853338633,-0.003960015837141952
74.0,-0.008920105616832518,-0.005385883109742117,-0.003885313178705541
74.5,-0.008845324387108427,-0.005312214366823535,-0.003822835108673427
75.0,-0.008747514684039163,-0.005223801995465986,-0.0037471051925289487
75.5,-0.00865023930942372,-0.005149372331837456,-0.0036897992216614697
76.0,-0.008589016652882553,-0.005092949326943991,-0.0036697945505039446
76.5,-0.008525969082316044,-0.00502018965112738,-0.003593520190705946
77.0,-0.008447086916994369,-0.0049516843858632515,-0.003531757821561965
77.5,-0.008344995126436161,-0.0048822267692898436,-0.0034754548380958646
78.0,-0.008278899355937883,-0.0048014196423390365,-0.003402791451228625
78.5,-0.008166187092364259,-0.004725042663188914,-0.0033287442329232295
79.0,-0.008077574861926179,-0.00464751622558492,-0.0032589588261015324
79.5,-0.007999569835014438,-0.004573585704899743,-0.0032033037200850573
80.0,-0.007935003610170925,-0.004517377323600474,-0.0031577472596000596
80.5,-0.0078794410555521,-0.004461786353522652,-0.0031082275584059607
81.0,-0.007814445260212327,-0.004404281354568537,-0.0030622042003404255
81.5,-0.007764074502458391,-0.004363722939453475,-0.003035411800857615
82.0,-0.007691650454702642,-0.004319859414117546,-0.003005012377920134
82.5,-0.0076831435588348455,-0.004296133328136717,-0.002976744977550108
83.0,-0.007635672635516464,-0.004245574027316302,-0.0029302417746726686
83.5,-0.0075919023277810785,-0.004212611392035686,-0.0029043193921937933
84.0,-0.007613202256488858,-0.004191841428263151,-0.0028764459074744806
84.5,-0.007558017259720204,-0.004150583550838623,-0.002846908119814782
85.0,-0.0075045171810145285,-0.004107707931801564,-0.0028089712492709016
85.5,-0.007458149471038849,-0.004071232407436851,-0.0027876729935628567
86.0,-0.007453642216669318,-0.004066734568640287,-0.0027768834917516207
86.5,-0.007381636110622401,-0.00399478909226616,-0.0027101795661085126
87.0,-0.007336855958475303,-0.003961606170376244,-0.00268636708128022
87.5,-0.007329088423342745,-0.003938289604268479,-0.0026631594948036343
88.0,-0.007312011610153888,-0.003926152967922845,-0.00266793773586785
88.5,-0.007337616603667604,-0.003936693273676894,-0.0026699451003155327
89.0,-0.00729215528226105,-0.0038911654173089815,-0.0026263815145903826
89.5,-0.007291970819664563,-0.0038749089674459314,-0.00261270871669518
90.0,-0.0072939239182325324,-0.003872645412026859,-0.0026081168904355146
90.5,-0.007287597917186134,-0.0038420573900412574,-0.0025709082718764005
91.0,-0.007284674280362438,-0.003829451718614507,-0.002561817696897592
91.5,-0.007266660220606575,-0.0038064601715000713,-0.0025407439632014078
92.0,-0.007275714524651548,-0.003793385056470713,-0.002525119665970479
92.5,-0.007289221043608338,-0.00379246071457402,-0.002528959870264816
93.0,-0.007342308011133988,-0.003811365433501379,-0.00253427350094862
93.5,-0.007308003685060483,-0.0037916220066210355,-0.002527289084225663
94.0,-0.007324112797968702,-0.003805700287875011,-0.002544222388101143
94.5,-0.007378747442027817,-0.0038274537538369835,-0.0025523186880729784
95.0,-0.00739069890266319,-0.0038238677063124745,-0.002544885515931551
95.5,-0.007443192060897076,-0.003834244406704654,-0.002547439165335103
96.0,-0.007448257633100951,-0.0038265659772954387,-0.00253771850116295
96.5,-0.007438688556205575,-0.003816933217166962,-0.0025346033999992853
97.0,-0.0074567305792579116,-0.0038238698243147616,-0.002539937462490451
97.5,-0.007434824781509305,-0.0037996038854278898,-0.0025159420626158593
98.0,-0.0074147441969520415,-0.003769695663035735,-0.0024812089933326773
98.5,-0.007413202331469009,-0.003745317242214223,-0.0024625094519266665
99.0,-0.007438963852545986,-0.0037478786660833582,-0.0024601959291956103
99.5,-0.007467081382589331,-0.003793608470794396,-0.002522966548868891
100.0,-0.007532401246400906,-0.0038324413018548695,-0.0025423151555875162
100.5,-0.007534753610004935,-0.0038167848115871865,-0.002530339307628058
101.0,-0.007536944750355204,-0.003813951371132794,-0.002531418024475826
101.5,-0.007559177188657987,-0.0038163772154806313,-0.0025262444091162426
102.0,-0.007539105088648065,-0.0038088584399822876,-0.0025286811197877167
102.5,-0.007553182544363443,-0.003812183833164479,-0.0025357711767468494
103.0,-0.0075265802862064315,-0.003821086811067589,-0.0025500662158369283
103.5,-0.007572419912056647,-0.0038336513876259916,-0.0025524306821761013
104.0,-0.007570389988941209,-0.003820874474708486,-0.002542933918530701
104.5,-0.007570774127949543,-0.003825979802706551,-0.002540938547884517
105.0,-0.007542257977179692,-0.0038089995248875475,-0.0025334074312328646
105.5,-0.007493404546781589,-0.0038015877435048947,-0.002542558926834701
106.0,-0.007444625211399532,-0.0037899285356805495,-0.0025411951740330657
106.5,-0.007376776202540902,-0.003745596906901167,-0.002502638618502021
107.0,-0.007338948468050019,-0.0037208235973073063,-0.0024946003886172604
107.5,-0.007371330677462084,-0.0037298785691645894,-0.0024896609845276876
108.0,-0.0073492053817987915,-0.0037051619837705453,-0.0024701424428120373
108.5,-0.007362171861807337,-0.003711594904894216,-0.002471517228321385
109.0,-0.007377085831855209,-0.0037092515683446615,-0.0024671177268117154
109.5,-0.007408245441507156,-0.003734796825066174,-0.002488534665056441
110.0,-0.007466769128143289,-0.0037506413150021145,-0.002487728875342826
110.5,-0.007510977219530319,-0.0037551601389399676,-0.00248857925478005
111.0,-0.0075534813871157205,-0.003782130132808624,-0.002511729910655556
111.5,-0.007598574424787354,-0.003793865275813207,-0.002511268679644803
112.0,-0.007597413248490845,-0.003792113492849028,-0.0025070998550186024
112.5,-0.007591294437157966,-0.0037900555862737267,-0.0025150536024467463
113.0,-0.00762279850298891,-0.003801259006217824,-0.0025117364622215866
113.5,-0.007654595769174059,-0.0038146686716838,-0.002525839481097253
114.0,-0.007709231126220493,-0.0038439678097144598,-0.0025446182589330835
114.5,-0.007774607964178645,-0.003868576925470061,-0.002561588304961158
115.0,-0.007807819307854606,-0.003877742611980434,-0.002561012587397293
115.5,-0.007854194145294233,-0.0038985438958218785,-0.002577081438393945
116.0,-0.007882295646638901,-0.0039035854600512386,-0.0025793544508693517
116.5,-0.008010010601652741,-0.003944696223941928,-0.002588519987867702
117.0,-0.008076839124792729,-0.003974833551756597,-0.0026153876938487895
117.5,-0.008162008432924051,-0.004010864191995011,-0.002637539455782115
118.0,-0.008239039462922475,-0.004045682748348314,-0.0026643487551992677
118.5,-0.008318689603101568,-0.004090317463641845,-0.0027094245887739872
119.0,-0.00836070475183366,-0.004110182195987338,-0.0027133702837524977
119.5,-0.008375383563909728,-0.004126814132999672,-0.0027421020489965054
120.0,-0.00839769541657651,-0.0041506751725936255,-0.002765989026642963
120.5,-0.008387957523103742,-0.004138327169000256,-0.002753469594420457
121.0,-0.008399035429032566,-0.004132893113549506,-0.002744950252382983
121.5,-0.00838480164149952,-0.004126271207783737,-0.0027432131187159147
122.0,-0.008399271610059203,-0.004131115571337318,-0.0027501771323466045
122.5,-0.008433694732006187,-0.004165112370434877,-0.0027916877762696863
123.0,-0.00847240695143854,-0.0041937256655442765,-0.0028147846844876145
123.5,-0.008511565017137457,-0.004225046074993738,-0.002845048476965604
124.0,-0.008509851107461068,-0.004225704144416811,-0.0028441106558517574
124.5,-0.008541806752544017,-0.004240000168598514,-0.0028510891142158835
125.0,-0.008547782883736617,-0.00424799133699949,-0.002860991473850462
125.5,-0.008530245995434073,-0.004238874215214455,-0.0028494122747893145
126.0,-0.0085012619048461,-0.004208093707995175,-0.0028185127873967494
126.5,-0.008430727056717092,-0.004174691865181362,-0.00280538122756172
127.0,-0.008365480189982314,-0.004149287941775665,-0.002785246611262166
127.5,-0.00830213855762412,-0.0041111516860658365,-0.002761246217344691
128.0,-0.008234001442312164,-0.00409610244277832,-0.0027641477814424765
128.5,-0.008196285719820699,-0.004092713156709888,-0.002772485785847411
129.0,-0.008158103700345181,-0.004081943132593264,-0.0027645476547295588
129.5,-0.008160509202904178,-0.004071201284793663,-0.002747085526921809
130.0,-0.008142481884389348,-0.004076548853709817,-0.002763324216175604
130.5,-0.008148313502862084,-0.004077420078080567,-0.002757933315673672
131.0,-0.008196182172963858,-0.004097652271201469,-0.0027666297275127857
131.5,-0.008207290413107832,-0.004106471422174944,-0.002785247791864924
132.0,-0.008260025492736259,-0.004139148923297695,-0.0028013108016786124
132.5,-0.008283676945458625,-0.004134289215131698,-0.002781905023046817
133.0,-0.008281513682157841,-0.0041326735846659015,-0.002787348295864927
133.5,-0.008282200509917776,-0.004129704798889832,-0.0027852387987589568
134.0,-0.00833955323633127,-0.004156182804135966,-0.0028034255286627004
134.5,-0.008352594052397404,-0.0041806100618174465,-0.0028376905187838357
135.0,-0.008420257283138655,-0.0042150870495467375,-0.0028599918943717838
135.5,-0.008458326903431283,-0.004222625668382247,-0.0028506908441753554
136.0,-0.008468500887886143,-0.004232555800723819,-0.002860664502887945
136.5,-0.008523265138530009,-0.004253952790684284,-0.0028749367206126206
137.0,-0.00856152263206951,-0.004276771185696286,-0.0028983791270650637
137.5,-0.008638783659111419,-0.004298960718177764,-0.0028976735442194476
138.0,-0.008691347866967843,-0.004320002447732997,-0.0029149672942700195
138.5,-0.00875323886989698,-0.004354468807839851,-0.0029402382519821183
139.0,-0.008808689073194284,-0.0043948228833496075,-0.0029780553356949704
139.5,-0.008811857188999784,-0.00440151410518889,-0.0029850688591220795
140.0,-0.008832530267007659,-0.004416093915977371,-0.002999321137366874
140.5,-0.00882773044067081,-0.0044081187880481805,-0.0029890803021848872
141.0,-0.008788830452795368,-0.004377569298669373,-0.0029613620295426205
141.5,-0.008778711043957473,-0.004387119132059859,-0.0029739468697414255
142.0,-0.008801429906233962,-0.0044086959809736155,-0.0030020209850948605
142.5,-0.008836200711910292,-0.004429770380303922,-0.003019032627902523
143.0,-0.008843463847693956,-0.004434486651540463,-0.0030261810519243513
143.5,-0.008888084267031101,-0.004460752545586446,-0.0030503698397794173
144.0,-0.00889417675631548,-0.004470635710747296,-0.0030577007284635963
144.5,-0.00889460970458015,-0.004467238787507573,-0.003052737293565867
145.0,-0.008876661105623358,-0.0044631989778946965,-0.0030549821092568795
145.5,-0.00892983375536156,-0.004476674006099578,-0.0030555460665771467
146.0,-0.008889876113453174,-0.004462285861012836,-0.003051477025494791
146.5,-0.008859368463087406,-0.004459812948665131,-0.0030583942610626926
147.0,-0.00889901157495951,-0.004467494853278906,-0.003052333994642518
147.5,-0.00885967431400037,-0.0044584204014597615,-0.0030563275739634533
148.0,-0.008852821035048164,-0.0044720333121702534,-0.003080916290456352
148.5,-0.008861970399549349,-0.004477888243631985,-0.0030805605229641195
149.0,-0.008868576098621104,-0.004478670244302663,-0.00307763794352933
149.5,-0.008885639340372217,-0.004481519427945812,-0.0030765526163689864
150.0,-0.008929423396620693,-0.004506212476097539,-0.003096433789519702
150.5,-0.00896814378409135,-0.004529040682325558,-0.0031110089627051332
151.0,-0.00898327409675238,-0.0045228578942474226,-0.0030930056077590456
151.5,-0.009028213798807036,-0.0045505561261757225,-0.0031206634831684363
152.0,-0.009054557234461736,-0.004583609860866547,-0.0031574298521751874
152.5,-0.009103795581755357,-0.004604649517566746,-0.0031689133818025637
153.0,-0.00913521817960986,-0.004619386870733383,-0.003173702527458241
153.5,-0.009114341437324647,-0.004598527736468346,-0.003153241871234175
154.0,-0.009100312879455596,-0.004610022307605672,-0.0031826089835740147
154.5,-0.009102430855229613,-0.004622233363660102,-0.003195250448332529
155.0,-0.009139726213186873,-0.0046441453757738475,-0.003213893827615488
155.5,-0.009145567662891096,-0.004651347784516149,-0.0032201538414854754
156.0,-0.009141553126965636,-0.004647044519770797,-0.0032148222349767776
156.5,-0.009121373637635951,-0.00462886803645001,-0.0031948426047437783
157.0,-0.009099490136860303,-0.004600293447073827,-0.003164611394434472
157.5,-0.009096680323350058,-0.0046012416174097915,-0.0031706871322892587
158.0,-0.009112645302962082,-0.004619222697010825,-0.0031916039871148494
158.5,-0.009185458074344744,-0.004646115044454212,-0.0032013005605682804
159.0,-0.009188405586761737,-0.0046563266260446785,-0.003216562294680695
159.5,-0.009188039751282592,-0.004643092050315268,-0.0031824953565922722
160.0,-0.009133620378151186,-0.004601306390913014,-0.003175069198393727
160.5,-0.009119136721763286,-0.004606750607308285,-0.003183184884111062
161.0,-0.009071630923035857,-0.004594433276618738,-0.003177269617649771
161.5,-0.00908602335238141,-0.0046036417834992155,-0.003186495246069046
162.0,-0.009058097297389416,-0.004593158221784085,-0.0031782399200862214
162.5,-0.00901931770324103,-0.004577733518453779,-0.0031728276414026957
163.0,-0.009042919372513314,-0.004586582685516187,-0.0031754025144752284
163.5,-0.009000940134447027,-0.004584321328193279,-0.0031870886916013155
164.0,-0.00895302602008443,-0.004567045185498565,-0.0031777018749971236
164.5,-0.008944705389566225,-0.004571417078435284,-0.0031844670321712278
165.0,-0.008919183161185248,-0.004565944778631663,-0.0031829480965485705
165.5,-0.008907385096911349,-0.0045531104939185085,-0.0031604724385761018
166.0,-0.00892388365615637,-0.0045598242973673405,-0.003168557850403124
166.5,-0.008913165147417117,-0.004561811468628423,-0.003174409054060542
167.0,-0.008900482732960544,-0.004566929142646517,-0.0031921128011245608
167.5,-0.008935253827464277,-0.004593714624473893,-0.003201109273194951
168.0,-0.008944615991200004,-0.004597751515237094,-0.0032034983386663093
168.5,-0.008932749005569797,-0.004589307986020922,-0.0031992704565549906
169.0,-0.008935996413710843,-0.004580291965469938,-0.003178263400431032
169.5,-0.008907479675067904,-0.004552823851118741,-0.0031503698832300803
170.0,-0.00890022443311763,-0.004547544767710418,-0.0031564659496449037
170.5,-0.008924615577511943,-0.00456532270842117,-0.0031734326383904997
171.0,-0.008943774335038736,-0.0045836156482106025,-0.003187154751696318
171.5,-0.009018761658623595,-0.00462306111525083,-0.0032110923496562744
172.0,-0.0090340340154206,-0.004632495476374506,-0.0032209857963319197
172.5,-0.009070325032209349,-0.004648744010324653,-0.0032310584250171337
173.0,-0.009087780204665639,-0.004652387781282622,-0.003229978616138033
173.5,-0.009115589210082613,-0.004670897470601313,-0.00325605660605982
174.0,-0.00916133674408193,-0.004678766873767436,-0.0032390876585336363
174.5,-0.009156205936436585,-0.004670044641901604,-0.0032400214225967055
175.0,-0.00915838972557943,-0.0046825234053834205,-0.003264979320330176
175.5,-0.009160580800849819,-0.004688437013668237,-0.0032717530240984217
176.0,-0.009211680287591442,-0.004725869193015342,-0.003304382434357175
176.5,-0.009229433408465907,-0.004733308190180255,-0.0033091761182448627
177.0,-0.00924028689615257,-0.004756067354211366,-0.003346525732263118
177.5,-0.009287244049532248,-0.0047831394886962645,-0.0033583888016527684
178.0,-0.009292424498882935,-0.004799600373102366,-0.0033791962906431954
178.5,-0.009268963350511666,-0.0047925883221696585,-0.003377815681637932
179.0,-0.009261813663914943,-0.00478812488279827,-0.0033683031563778373
179.5,-0.009252973624696672,-0.004792461417533881,-0.003380574138476496
180.0,-0.009252882953841933,-0.004822903445658018,-0.0034230297055593034
180.5,-0.009251154251043564,-0.004824192405262353,-0.0034164509151895727
181.0,-0.00923607965054313,-0.004798477571643131,-0.0033881029752112586
181.5,-0.009236935487594413,-0.004806463902052884,-0.0034104798668958126
182.0,-0.00929321447275039,-0.004855784894582666,-0.003448212427896893
182.5,-0.009258925027473925,-0.004838547533842549,-0.0034362799860934703
183.0,-0.009210599566839749,-0.004816700033697943,-0.003418011681506718
183.5,-0.009171083520841197,-0.004790432247769358,-0.0033950732789303677
184.0,-0.009124560227323738,-0.004765900860036964,-0.0033790484997872614
184.5,-0.009082255597126743,-0.00474493494809845,-0.0033677456787299343
185.0,-0.009041489541935295,-0.004728317355237464,-0.0033528111906892073
185.5,-0.009043714584442513,-0.004739373380327983,-0.00336612613378082
186.0,-0.008988524398176441,-0.00471178114992574,-0.003340596485389979
186.5,-0.008935161449651447,-0.004677544784178996,-0.0033136358388622784
187.0,-0.008907262974642295,-0.004663971093089043,-0.0033037589828841018
187.5,-0.008908520083083049,-0.0046692136414470215,-0.0033064158398575312
188.0,-0.008903493891761113,-0.004687123482842281,-0.0033441380246840647
188.5,-0.008918961160561727,-0.004693351513025313,-0.0033301530507862604
189.0,-0.008915865515983766,-0.004686705893684441,-0.0033286760721234748
189.5,-0.008906409748730849,-0.004683169871212319,-0.0033239275132012597
190.0,-0.008900230135188907,-0.004676942671611152,-0.0033176400674597797
190.5,-0.008888483557056513,-0.0046774907905162795,-0.0033215423707689336
191.0,-0.008891474686675581,-0.004670676040214951,-0.0033121734363417248
191.5,-0.008858496741351399,-0.004644250877102568,-0.0032869213267266557
192.0,-0.008869892042916501,-0.004661006643911807,-0.0033053979831732558
192.5,-0.008917876114415427,-0.004662737994387456,-0.003289498633476609
193.0,-0.008928140453168155,-0.0046608071762794705,-0.0032862203121230603
193.5,-0.008951194875805233,-0.004681067295454453,-0.0033086335494416064
194.0,-0.008964952639454985,-0.0046833770597914616,-0.0033020958228116124
194.5,-0.008953638499705327,-0.004684558253113814,-0.0033127207122862234
195.0,-0.008971539169526846,-0.0047029539174714965,-0.0033292588556207226
195.5,-0.009015274235509256,-0.004734784071502673,-0.0033538503136567614
196.0,-0.009039967586342729,-0.004755306463331463,-0.0033689285480902886
196.5,-0.009070609559606755,-0.004772748251256647,-0.0033846812824160893
197.0,-0.009100636530285979,-0.004790367692134407,-0.0034048124286104745
197.5,-0.00911489284625112,-0.004800247295279863,-0.0034084857289626395
