step,phi_max,twist_energy_max,soliton_energy,twist_energy,gravity_energy,discarded_energy,alpha_pwari,emitted_energy_cumulative,Lz
8300,0.36236,9.01020e-03,7.40594e+01,7.10378e-01,1.33013e+00,4.66052e-02,0.00959201,1.24613e+02,1.24821e-06
8400,0.17574,2.12636e-03,7.30102e+01,5.85183e-01,1.14933e+00,6.31088e-02,0.00801509,1.25950e+02,-1.21020e-06
8500,0.24608,4.18027e-03,8.26378e+01,4.03917e-01,9.05202e-01,4.08210e-02,0.00488780,1.27284e+02,1.15564e-07
8600,0.25228,4.39709e-03,8.05238e+01,3.00074e-01,8.87736e-01,3.75623e-02,0.00372652,1.28614e+02,-9.75529e-07
8700,0.16503,1.88064e-03,6.66774e+01,3.52925e-01,8.42500e-01,4.93563e-02,0.00529302,1.29939e+02,2.10061e-07
8800,0.33117,7.51858e-03,7.37758e+01,4.61612e-01,9.50433e-01,3.68146e-02,0.00625695,1.31261e+02,2.11376e-06
8900,0.21919,3.34099e-03,7.77403e+01,6.08723e-01,1.08072e+00,7.74398e-02,0.00783021,1.32579e+02,-8.11492e-07
9000,0.23765,3.89563e-03,6.49822e+01,6.74321e-01,1.04935e+00,5.76757e-02,0.01037701,1.33894e+02,6.03078e-07
9100,0.25488,4.43586e-03,6.41976e+01,5.53890e-01,1.16410e+00,5.31977e-02,0.00862790,1.35205e+02,4.06285e-06
9200,0.15749,1.72378e-03,7.79445e+01,3.82987e-01,1.16612e+00,4.66536e-02,0.00491359,1.36512e+02,1.17708e-06
9300,0.25791,4.55190e-03,6.76978e+01,3.30002e-01,1.09392e+00,3.80484e-02,0.00487464,1.37816e+02,-4.53457e-07
9400,0.14359,1.39998e-03,6.36056e+01,3.38927e-01,8.66050e-01,7.30683e-02,0.00532856,1.39117e+02,-1.98717e-07
9500,0.31101,6.75348e-03,7.90311e+01,4.47918e-01,8.93007e-01,5.87650e-02,0.00566761,1.40413e+02,3.61143e-07
9600,0.15556,1.63543e-03,7.21905e+01,5.99688e-01,8.63784e-01,6.89881e-02,0.00830702,1.41706e+02,3.50839e-06
9700,0.24268,4.00922e-03,6.69018e+01,6.40587e-01,8.90574e-01,7.77882e-02,0.00957503,1.42995e+02,-5.37167e-07
9800,0.21581,3.18916e-03,7.53016e+01,5.14478e-01,1.08639e+00,6.62805e-02,0.00683224,1.44281e+02,2.50238e-06
9900,0.17277,2.03056e-03,7.15481e+01,3.75859e-01,1.19062e+00,9.20086e-02,0.00525324,1.45563e+02,1.00939e-06
10000,0.25031,4.31872e-03,6.11135e+01,3.34158e-01,1.18953e+00,4.75381e-02,0.00546783,1.46842e+02,1.49285e-07
10100,0.16841,1.92306e-03,6.32515e+01,3.14552e-01,1.08366e+00,4.91342e-02,0.00497304,1.48116e+02,2.20068e-06
10200,0.25372,4.39178e-03,6.51645e+01,4.55592e-01,1.16740e+00,4.77031e-02,0.00699141,1.49387e+02,7.96794e-07
10300,0.27376,5.12917e-03,6.47974e+01,5.95067e-01,1.15521e+00,7.11593e-02,0.00918349,1.50654e+02,8.44495e-07
10400,0.23381,3.71671e-03,6.71939e+01,5.79226e-01,1.13235e+00,8.79358e-02,0.00862022,1.51918e+02,-1.37610e-06
10500,0.24191,3.97550e-03,6.99274e+01,4.66601e-01,9.23629e-01,7.09053e-02,0.00667264,1.53178e+02,1.04620e-07
10600,0.20690,2.90064e-03,6.10646e+01,4.02562e-01,7.33433e-01,7.64005e-02,0.00659239,1.54436e+02,1.38527e-06
10700,0.18707,2.38355e-03,7.14126e+01,3.05701e-01,6.77949e-01,6.86238e-02,0.00428077,1.55689e+02,3.67151e-07
10800,0.16433,1.80236e-03,7.47501e+01,3.13849e-01,6.45173e-01,8.33226e-02,0.00419864,1.56939e+02,7.15347e-07
10900,0.31468,6.75974e-03,6.13449e+01,4.49472e-01,6.78160e-01,1.10640e-01,0.00732697,1.58185e+02,1.95622e-06
11000,0.19655,2.60326e-03,6.87401e+01,5.69801e-01,7.58647e-01,7.72248e-02,0.00828921,1.59428e+02,2.37831e-08
11100,0.26752,4.89831e-03,7.54606e+01,5.49136e-01,8.18191e-01,7.36213e-02,0.00727712,1.60668e+02,-4.15014e-08
11200,0.22703,3.49967e-03,5.29508e+01,5.01220e-01,8.38051e-01,8.82362e-02,0.00946577,1.61904e+02,3.39932e-06
11300,0.24560,4.05681e-03,6.16627e+01,3.53513e-01,9.28927e-01,9.18560e-02,0.00573302,1.63137e+02,-2.10261e-07
11400,0.30983,6.53089e-03,7.09194e+01,2.84347e-01,1.12901e+00,4.94288e-02,0.00400943,1.64366e+02,2.75214e-07
11500,0.21915,3.24487e-03,5.65722e+01,3.62068e-01,9.68533e-01,6.89390e-02,0.00640011,1.65592e+02,4.81882e-07
11600,0.21800,3.21606e-03,5.43035e+01,4.87596e-01,8.51001e-01,1.07454e-01,0.00897909,1.66813e+02,4.67457e-07
11700,0.15452,1.61947e-03,7.47174e+01,4.77779e-01,7.49217e-01,1.00806e-01,0.00639448,1.68032e+02,1.04562e-06
