height_1,height_2,height_3,n_peaks,r_peak_1,r_peak_2,r_peak_3,step,twist_total
0.000965,,,1,0.4,,,20300,0.28986545851884266
0.001305,0.000529,,2,0.2,0.8,,20400,0.3053957739703131
0.001428,,,1,0.2,,,20500,0.3377591054357059
0.001782,0.000272,,2,0.2,1.0,,20600,0.3219943978953009
0.000559,,,1,0.8,,,20700,0.3140566022053088
0.003177,,,1,0.2,,,20800,0.34257282192599575
0.000852,,,1,0.2,,,20900,0.33373539844549444
0.001712,,,1,0.4,,,21000,0.2923640245749483
0.000989,,,1,0.2,,,21100,0.2767805593213464
0.001544,,,1,0.2,,,21200,0.3108484182213891
0.001659,,,1,0.4,,,21300,0.34397160686811107
0.002013,,,1,0.2,,,21400,0.3143395774430866
0.000868,,,1,0.4,,,21500,0.2803374821129534
0.000849,,,1,0.4,,,21600,0.29984114304631276
0.002093,,,1,0.2,,,21700,0.3303829681201688
0.000995,,,1,0.4,,,21800,0.2853377504035332
0.001153,,,1,0.2,,,21900,0.27659307107184067
0.001589,,,1,0.2,,,22000,0.3334211613538422
0.00165,0.000579,,2,0.2,0.8,,22100,0.3286731115807483
0.001726,,,1,0.4,,,22200,0.28644527396034114
0.00082,,,1,0.2,,,22300,0.2765005680487359
0.000752,,,1,0.4,,,22400,0.29213537235173664
0.001725,,,1,0.2,,,22500,0.32089799489323056
0.001028,,,1,0.2,,,22600,0.30538539764670974
0.000928,0.000346,,2,0.2,0.8,,22700,0.2927459425438795
0.001031,,,1,0.2,,,22800,0.29920059040618324
0.001933,,,1,0.2,,,22900,0.306217334355122
0.001191,,,1,0.4,,,23000,0.28902573996203434
0.000761,,,1,0.4,,,23100,0.2820256748414595
0.00204,,,1,0.2,,,23200,0.29144283420740924
0.000954,,,1,0.2,,,23300,0.3263598931296257
0.001754,,,1,0.4,,,23400,0.31619361361137843
0.001636,,,1,0.2,,,23500,0.2618585751043811
0.000611,,,1,0.4,,,23600,0.2613850060396764
0.001996,,,1,0.2,,,23700,0.3075600780459677
0.00079,,,1,0.2,,,23800,0.2925596066525126
0.00142,,,1,0.4,,,23900,0.27791951755168876
0.001007,,,1,0.6,,,24000,0.2925900659446082
0.003116,,,1,0.2,,,24100,0.3111826766681597
0.000623,,,1,0.4,,,24200,0.27731567443341737
0.001189,,,1,0.4,,,24300,0.25481159210045606
0.000769,,,1,0.2,,,24400,0.26186027281568114
0.000829,0.000544,,2,0.2,0.8,,24500,0.30225722394977583
0.001777,,,1,0.4,,,24600,0.31588108280214267
0.001396,0.000486,,2,0.2,0.8,,24700,0.2763007155781686
0.000595,,,1,0.6,,,24800,0.2717935755158753
0.002337,,,1,0.2,,,24900,0.29283616613698754
0.00095,,,1,0.2,,,25000,0.25830886839786604
0.001229,,,1,0.4,,,25100,0.26161884546353686
0.001587,,,1,0.2,,,25200,0.2881516888819521
0.001088,,,1,0.2,,,25300,0.3019534088603177
0.001278,,,1,0.2,,,25400,0.29549565454909227
0.001259,,,1,0.4,,,25500,0.2747859182859858
0.00101,0.000209,,2,0.2,1.0,,25600,0.23490123658387965
0.000574,,,1,0.4,,,25700,0.2524385556639783
0.001917,,,1,0.2,,,25800,0.2907414499608809
0.00046,,,1,0.4,,,25900,0.2753946165307708
0.00101,,,1,0.4,,,26000,0.27674101959430764
0.002647,,,1,0.2,,,26100,0.3012989263308589
0.00068,,,1,0.6,,,26200,0.2727563551272645
0.001048,,,1,0.4,,,26300,0.23371710362341216
0.001149,,,1,0.2,,,26400,0.23516118509593906
0.000594,,,1,0.4,,,26500,0.2660042968294715
0.00134,0.000552,,2,0.2,0.8,,26600,0.2899874096599181
0.001239,,,1,0.2,,,26700,0.2898473839961528
0.000711,0.000279,,2,0.4,1.0,,26800,0.26394106903078846
0.001586,,,1,0.2,,,26900,0.259891467853753
0.001979,,,1,0.2,,,27000,0.2585835439850185
0.000483,,,1,0.8,,,27100,0.22806641416711404
0.001863,,,1,0.4,,,27200,0.25182218472928486
0.001039,,,1,0.6,,,27300,0.29481089590518184
0.001338,0.000342,,2,0.2,1.0,,27400,0.2937310710703303
0.00075,,,1,0.6,,,27500,0.27156954493350605
0.001572,,,1,0.2,,,27600,0.24986149352938075
0.000487,,,1,0.2,,,27700,0.22739573990284215
0.001574,,,1,0.2,,,27800,0.23952360886414423
0.001307,,,1,0.4,,,27900,0.2573668823722798
0.000491,0.000416,,2,0.2,0.8,,28000,0.2666945820228923
0.001289,,,1,0.4,,,28100,0.2868233543601449
0.001495,,,1,0.2,,,28200,0.2784238264019541
0.000852,0.000376,,2,0.2,0.8,,28300,0.23611597164539436
0.001224,,,1,0.4,,,28400,0.21834477755445209
