step,twist_energy_total,discarded_total,Lz_total
5075,6.86788e+00,5.44233e-02,2.03288e-20
5100,1.05385e+01,8.38347e-02,-9.87979e-21
5125,1.25381e+01,1.00308e-01,1.37694e-20
5150,1.10281e+01,8.88140e-02,-3.95734e-21
5175,7.47077e+00,6.03664e-02,2.17925e-20
5200,6.28947e+00,5.03244e-02,2.81893e-21
5225,8.05000e+00,6.42048e-02,-3.82723e-20
5250,9.20738e+00,7.37578e-02,-2.42861e-20
5275,8.39723e+00,6.75485e-02,-9.92045e-21
5300,6.54104e+00,5.27585e-02,3.41524e-21
5325,5.67903e+00,4.55604e-02,-2.23346e-20
5350,6.99161e+00,5.58912e-02,-2.43945e-21
5375,7.43792e+00,5.99207e-02,5.63785e-21
5400,4.70909e+00,3.84745e-02,-1.17744e-19
5425,1.85187e+00,1.52421e-02,-1.04626e-20
5450,2.02551e+00,1.61626e-02,3.77302e-20
5475,3.94390e+00,3.15198e-02,1.44199e-20
5500,4.78665e+00,3.86568e-02,1.49620e-20
5525,3.80551e+00,3.10526e-02,5.59448e-20
5550,2.68157e+00,2.19112e-02,8.80914e-20
5575,2.09790e+00,1.71144e-02,1.84314e-20
5600,1.42316e+00,1.16625e-02,-9.97466e-21
5625,1.10002e+00,8.96048e-03,-9.97466e-21
5650,1.85065e+00,1.48808e-02,-4.00071e-20
5675,3.36895e+00,2.70986e-02,-2.00577e-20
5700,4.74610e+00,3.82519e-02,-3.49113e-20
5725,5.52232e+00,4.45285e-02,1.14383e-20
5750,5.45027e+00,4.40543e-02,-2.81893e-21
5775,4.17428e+00,3.39423e-02,1.30104e-21
5800,2.75288e+00,2.25324e-02,1.95156e-20
5825,2.22449e+00,1.82965e-02,-5.14996e-21
5850,2.65891e+00,2.17768e-02,-2.93819e-20
5875,4.81408e+00,3.88677e-02,1.27936e-20
5900,8.54796e+00,6.87316e-02,-2.60209e-20
5925,1.14547e+01,9.23160e-02,-2.08167e-20
5950,1.12724e+01,9.13324e-02,0.00000e+00
5975,8.57570e+00,6.99255e-02,-2.84061e-20
6000,6.08285e+00,4.98224e-02,4.05492e-20
6025,5.47679e+00,4.49662e-02,3.81639e-20
6050,6.40579e+00,5.25412e-02,-1.16728e-19
6075,8.02655e+00,6.58766e-02,8.91214e-20
6100,8.77359e+00,7.23827e-02,4.81386e-20
6125,8.20744e+00,6.81184e-02,2.64979e-19
6150,6.32519e+00,5.32081e-02,3.63208e-20
6175,3.95744e+00,3.41558e-02,-5.25296e-20
6200,3.31426e+00,2.85740e-02,-4.64039e-20
6225,5.75422e+00,4.77972e-02,2.09034e-19
6250,7.94161e+00,6.58592e-02,7.43763e-20
6275,6.02264e+00,5.12812e-02,-5.20417e-21
6300,2.54834e+00,2.34358e-02,-1.02457e-19
6325,1.15465e+00,1.23452e-02,-9.71445e-20
6350,1.64875e+00,1.67333e-02,0.00000e+00
6375,3.39684e+00,3.12545e-02,2.21177e-20
6400,4.85108e+00,4.32979e-02,9.40003e-20
6425,4.07181e+00,3.67505e-02,2.30935e-20
6450,1.90278e+00,1.82376e-02,-6.42932e-20
6475,6.40485e-01,7.06360e-03,-4.07660e-20
6500,1.01204e+00,1.01421e-02,-3.38271e-20
6525,3.15459e+00,2.86469e-02,-1.77267e-20
6550,6.65255e+00,5.85378e-02,1.59052e-19
6575,8.92628e+00,7.79954e-02,-3.68629e-20
6600,7.96210e+00,6.99474e-02,-3.81097e-20
6625,5.45171e+00,4.81663e-02,-5.65954e-20
6650,3.10523e+00,2.83920e-02,-3.36103e-20
6675,1.64051e+00,1.77776e-02,1.37477e-19
6700,2.23783e+00,2.56575e-02,-9.93129e-20
6725,5.25658e+00,5.34406e-02,1.56125e-20
6750,9.27987e+00,8.77935e-02,2.39609e-19
6775,1.21313e+01,1.10193e-01,-1.31785e-19
6800,1.17638e+01,1.05070e-01,1.97325e-20
6825,7.83717e+00,7.17330e-02,-9.45424e-20
6850,3.93858e+00,4.13032e-02,-1.59595e-19
6875,3.69800e+00,4.39299e-02,-5.14996e-21
6900,6.06039e+00,7.07833e-02,-4.28910e-19
6925,8.14280e+00,9.51035e-02,-8.00141e-20
6950,8.54668e+00,1.02517e-01,6.93889e-21
